iter	RMSE
0	0.05610528739
1	0.05548312803
2	0.05511650602
3	0.05483780402
4	0.05444638101
5	0.05386390825
6	0.05349085077
7	0.05296275755
8	0.05233329535
9	0.05194893508
10	0.05145985975
11	0.05113745351
12	0.05064207393
13	0.05020367069
14	0.04980611725
15	0.04932667189
16	0.04910274659
17	0.04875076614
18	0.04831380875
19	0.0479263324
20	0.0475364726
21	0.04728120755
22	0.04704219129
23	0.04670927703
24	0.04648227323
25	0.04596435259
26	0.04559074541
27	0.04528503518
28	0.04480514944
29	0.04453636014
30	0.0443645965
31	0.04414246887
32	0.04387049316
33	0.04360757885
34	0.0432608893
35	0.04300325914
36	0.04281439566
37	0.04264572952
38	0.04236437505
39	0.04209150413
40	0.04181924852
41	0.04169921341
42	0.04145082146
43	0.04117987817
44	0.04089932113
45	0.04071167948
46	0.04040529661
47	0.04022338111
48	0.04005726302
49	0.03999027979
50	0.03975902196
51	0.03937063252
52	0.03922144326
53	0.03881186949
54	0.03861391415
55	0.03835536173
56	0.03807963123
57	0.03781549187
58	0.03767618179
59	0.03750389233
60	0.0373234737
61	0.03709047092
62	0.03695616996
63	0.03666030931
64	0.03655800367
65	0.03634933698
66	0.03609924711
67	0.03599105596
68	0.03577418389
69	0.03550761852
70	0.03537141597
71	0.03516669024
72	0.03500009516
73	0.03488179295
74	0.03470851812
75	0.03455240499
76	0.0343691604
77	0.03411577042
78	0.03383473082
79	0.03366692803
80	0.03350639121
81	0.03331588855
82	0.0332142373
83	0.03310859332
84	0.03296691876
85	0.03287782723
86	0.03269018567
87	0.0325543011
88	0.03231583406
89	0.03221357458
90	0.03214281354
91	0.03200748118
92	0.031848628
93	0.03174912264
94	0.03151583846
95	0.03127022345
96	0.03115369048
97	0.0310556752
98	0.03089083049
99	0.03075981389
100	0.03065082032
101	0.03058071897
102	0.03047519124
103	0.03033485865
104	0.03013315044
105	0.02999228664
106	0.02992104837
107	0.02979010169
108	0.02956969819
109	0.02934887831
110	0.02922757044
111	0.02902584099
112	0.02888587325
113	0.02866844877
114	0.02855050182
115	0.02832920712
116	0.0282070649
117	0.02811765884
118	0.02799366142
119	0.02788848456
120	0.02776761023
121	0.02773010813
122	0.02759379594
123	0.02747319474
124	0.02734736453
125	0.02718203975
126	0.02695452527
127	0.02678604527
128	0.0265921319
129	0.02636761292
130	0.02618809968
131	0.02602099923
132	0.02587309604
133	0.02578352076
134	0.02566101053
135	0.02555317974
136	0.0254457728
137	0.02529014636
138	0.02508776181
139	0.0248796784
140	0.02471122459
141	0.02452456051
142	0.02443625488
143	0.02432863633
144	0.02421882389
145	0.0241831784
146	0.02404304487
147	0.02393528836
148	0.02376274646
149	0.02371628833
150	0.02359142109
151	0.02350912418
152	0.02347300632
153	0.02343851972
154	0.02335998954
155	0.02324369516
156	0.02319401505
157	0.0230556299
158	0.02297834169
159	0.02276953355
160	0.02266901724
161	0.0225542464
162	0.02246945449
163	0.02236438877
164	0.02221103319
165	0.02207816941
166	0.0219878297
167	0.02195514619
168	0.02189966249
169	0.02171458166
170	0.02164355142
171	0.02157547766
172	0.02154433434
173	0.02142326938
174	0.0213282347
175	0.02118183556
176	0.0210975467
177	0.0210603907
178	0.02098265282
179	0.02088710522
180	0.0208466427
181	0.02074357733
182	0.02063483908
183	0.02056071631
184	0.02050155037
185	0.02043979097
186	0.02035630195
187	0.02027956718
188	0.02020207266
189	0.02001002631
190	0.01997800141
191	0.01987881593
192	0.01979314882
193	0.01966419564
194	0.01958516847
195	0.01950325152
196	0.019360516
197	0.01922005013
198	0.01912169087
199	0.01905759187
